azimuth,total_production_kwh,weighted_mismatch_kwh,morning_production_kwh,afternoon_production_kwh,morning_afternoon_ratio,total_poa_irradiance
90,281342.72630914144,140794.63416899263,212378.71217104513,65102.80437815141,3.2622052797823824,1816.0848389912014
105,291133.93828526617,141607.482753298,217994.8205585416,69277.90796677962,3.146671528578421,1887.1140870093266
120,293355.1584118406,141086.65731938535,216737.4006597169,72756.54799217876,2.9789401317255444,1901.0838078511176
135,287864.4511137885,139099.542095765,208666.70833476871,75336.53301907488,2.769794414111613,1857.0419399738773
150,274732.0757743086,135929.4752628374,193998.85132976278,76872.01468460084,2.5236602959571584,1757.9898638908112
165,254343.51365169376,133449.54483650354,173206.91670537012,77275.38718637869,2.241424119786245,1610.6778148956857
180,229944.49393360456,133127.76645634213,149564.59114413738,76518.69302952224,1.954615077997121,1438.2750508508948
195,202765.0958658373,135938.25868113854,124268.23233474242,74635.6537711499,1.664998242204422,1251.6858773069023
210,176083.90246730964,141574.85876303219,100498.5389610981,71724.15374626663,1.401181243861371,1072.7466920801312
225,152584.77564406034,149461.31395500567,80775.83964882778,67947.72623528763,1.1887938585188162,918.2635651900857
240,132266.92529938507,159701.55269950198,64871.96036028458,63533.75517915553,1.0210629007738565,787.8101965926897
255,116556.43749329177,168711.64380086996,53929.21705805731,58766.01067528953,0.9176940282035166,688.7971717071347
270,105283.78708478142,175420.83779049266,47452.70236678417,53969.87495805232,0.8792442525328514,618.8773952680243
